institution,employment_type,base_cibil_score,cibil_score_used,cibil_band_shown,current_rate,better_lender_1,better_rate_1,better_lender_2,better_rate_2,better_lender_3,better_rate_3
Yes Bank,Self-employed,725,737,CIBIL 700–749,9.80%,HDFC Bank,7.95%,SBI,7.95%,Axis Bank,8.10%
Yes Bank,Salaried,775,778,CIBIL 750–799,9.20%,Central Bank of India,7.35%,HDFC Bank,7.35%,Axis Bank,7.50%
Yes Bank,Self-employed,775,778,CIBIL 750–799,9.35%,Central Bank of India,7.40%,HDFC Bank,7.50%,Axis Bank,7.65%
Yes Bank,Salaried,825,839,CIBIL 800+,9.00%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
Yes Bank,Self-employed,825,839,CIBIL 800+,9.15%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
Yes Bank,Salaried,790,790,CIBIL 750–799,9.10%,Central Bank of India,7.25%,HDFC Bank,7.25%,Axis Bank,7.40%
Yes Bank,Self-employed,790,790,CIBIL 750–799,9.25%,Central Bank of India,7.25%,HDFC Bank,7.40%,Axis Bank,7.55%
Yes Bank,Salaried,850,850,CIBIL 800+,9.00%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
Yes Bank,Self-employed,850,850,CIBIL 800+,9.15%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
RBL Bank,Salaried,600,600,CIBIL 600–649,9.80%,SBI,8.70%,HDFC Bank,8.75%,Axis Bank,8.90%
RBL Bank,Self-employed,600,600,CIBIL 600–649,9.95%,HDFC Bank,8.90%,SBI,8.90%,Axis Bank,9.05%
RBL Bank,Salaried,625,622,CIBIL 600–649,9.65%,SBI,8.55%,HDFC Bank,8.60%,Axis Bank,8.75%
RBL Bank,Self-employed,625,622,CIBIL 600–649,9.80%,HDFC Bank,8.75%,SBI,8.75%,Axis Bank,8.90%
RBL Bank,Salaried,675,677,CIBIL below 700,9.35%,HDFC Bank,8.30%,SBI,8.30%,Axis Bank,8.45%
RBL Bank,Self-employed,675,677,CIBIL below 700,9.50%,HDFC Bank,8.45%,SBI,8.45%,Axis Bank,8.60%
RBL Bank,Salaried,725,737,CIBIL 700–749,8.85%,HDFC Bank,7.80%,SBI,7.85%,Axis Bank,7.95%
RBL Bank,Self-employed,725,737,CIBIL 700–749,9.00%,HDFC Bank,7.95%,SBI,7.95%,Axis Bank,8.10%
RBL Bank,Salaried,775,778,CIBIL 750–799,8.40%,Central Bank of India,7.35%,HDFC Bank,7.35%,Axis Bank,7.50%
RBL Bank,Self-employed,775,778,CIBIL 750–799,8.55%,Central Bank of India,7.40%,HDFC Bank,7.50%,Axis Bank,7.65%
RBL Bank,Salaried,825,839,CIBIL 800+,8.20%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
RBL Bank,Self-employed,825,839,CIBIL 800+,8.35%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
RBL Bank,Salaried,790,790,CIBIL 750–799,8.30%,Central Bank of India,7.25%,HDFC Bank,7.25%,Axis Bank,7.40%
RBL Bank,Self-employed,790,790,CIBIL 750–799,8.45%,Central Bank of India,7.25%,HDFC Bank,7.40%,Axis Bank,7.55%
RBL Bank,Salaried,850,850,CIBIL 800+,8.20%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
RBL Bank,Self-employed,850,850,CIBIL 800+,8.35%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
AU Small Finance Bank,Salaried,600,600,CIBIL 600–649,9.85%,HDFC Bank,8.75%,Ujjivan SFB,10.35%,Equitas SFB,10.60%
AU Small Finance Bank,Self-employed,600,600,CIBIL 600–649,10.10%,HDFC Bank,8.90%,Ujjivan SFB,10.60%,Equitas SFB,10.85%
AU Small Finance Bank,Salaried,625,622,CIBIL 600–649,9.70%,HDFC Bank,8.60%,Ujjivan SFB,10.20%,Equitas SFB,10.45%
AU Small Finance Bank,Self-employed,625,622,CIBIL 600–649,9.95%,HDFC Bank,8.75%,Ujjivan SFB,10.45%,Equitas SFB,10.70%
AU Small Finance Bank,Salaried,675,677,CIBIL below 700,9.40%,HDFC Bank,8.30%,Ujjivan SFB,9.90%,Equitas SFB,10.15%
AU Small Finance Bank,Self-employed,675,677,CIBIL below 700,9.65%,HDFC Bank,8.45%,Ujjivan SFB,10.15%,Equitas SFB,10.40%
AU Small Finance Bank,Salaried,725,737,CIBIL 700–749,8.90%,HDFC Bank,7.80%,Ujjivan SFB,9.40%,Equitas SFB,9.65%
AU Small Finance Bank,Self-employed,725,737,CIBIL 700–749,9.15%,HDFC Bank,7.95%,Ujjivan SFB,9.65%,Equitas SFB,9.90%
AU Small Finance Bank,Salaried,775,778,CIBIL 750–799,8.45%,HDFC Bank,7.35%,Ujjivan SFB,8.95%,Equitas SFB,9.20%
AU Small Finance Bank,Self-employed,775,778,CIBIL 750–799,8.70%,HDFC Bank,7.50%,Ujjivan SFB,9.20%,Equitas SFB,9.45%
AU Small Finance Bank,Salaried,825,839,CIBIL 800+,8.25%,HDFC Bank,7.15%,Ujjivan SFB,8.75%,Equitas SFB,9.00%
AU Small Finance Bank,Self-employed,825,839,CIBIL 800+,8.50%,HDFC Bank,7.30%,Ujjivan SFB,9.00%,Equitas SFB,9.25%
AU Small Finance Bank,Salaried,790,790,CIBIL 750–799,8.35%,HDFC Bank,7.25%,Ujjivan SFB,8.85%,Equitas SFB,9.10%
AU Small Finance Bank,Self-employed,790,790,CIBIL 750–799,8.60%,HDFC Bank,7.40%,Ujjivan SFB,9.10%,Equitas SFB,9.35%
AU Small Finance Bank,Salaried,850,850,CIBIL 800+,8.25%,HDFC Bank,7.15%,Ujjivan SFB,8.75%,Equitas SFB,9.00%
AU Small Finance Bank,Self-employed,850,850,CIBIL 800+,8.50%,HDFC Bank,7.30%,Ujjivan SFB,9.00%,Equitas SFB,9.25%
Ujjivan SFB,Salaried,600,600,CIBIL 600–649,10.35%,HDFC Bank,8.75%,AU Small Finance Bank,9.85%,Equitas SFB,10.60%
Ujjivan SFB,Self-employed,600,600,CIBIL 600–649,10.60%,HDFC Bank,8.90%,AU Small Finance Bank,10.10%,Equitas SFB,10.85%
Ujjivan SFB,Salaried,625,622,CIBIL 600–649,10.20%,HDFC Bank,8.60%,AU Small Finance Bank,9.70%,Equitas SFB,10.45%
Ujjivan SFB,Self-employed,625,622,CIBIL 600–649,10.45%,HDFC Bank,8.75%,AU Small Finance Bank,9.95%,Equitas SFB,10.70%
Ujjivan SFB,Salaried,675,677,CIBIL below 700,9.90%,HDFC Bank,8.30%,AU Small Finance Bank,9.40%,Equitas SFB,10.15%
Ujjivan SFB,Self-employed,675,677,CIBIL below 700,10.15%,HDFC Bank,8.45%,AU Small Finance Bank,9.65%,Equitas SFB,10.40%
Ujjivan SFB,Salaried,725,737,CIBIL 700–749,9.40%,HDFC Bank,7.80%,AU Small Finance Bank,8.90%,Equitas SFB,9.65%
Ujjivan SFB,Self-employed,725,737,CIBIL 700–749,9.65%,HDFC Bank,7.95%,AU Small Finance Bank,9.15%,Equitas SFB,9.90%
Ujjivan SFB,Salaried,775,778,CIBIL 750–799,8.95%,HDFC Bank,7.35%,AU Small Finance Bank,8.45%,Equitas SFB,9.20%
Ujjivan SFB,Self-employed,775,778,CIBIL 750–799,9.20%,HDFC Bank,7.50%,AU Small Finance Bank,8.70%,Equitas SFB,9.45%
Ujjivan SFB,Salaried,825,839,CIBIL 800+,8.75%,HDFC Bank,7.15%,AU Small Finance Bank,8.25%,Equitas SFB,9.00%
Ujjivan SFB,Self-employed,825,839,CIBIL 800+,9.00%,HDFC Bank,7.30%,AU Small Finance Bank,8.50%,Equitas SFB,9.25%
Ujjivan SFB,Salaried,790,790,CIBIL 750–799,8.85%,HDFC Bank,7.25%,AU Small Finance Bank,8.35%,Equitas SFB,9.10%
Ujjivan SFB,Self-employed,790,790,CIBIL 750–799,9.10%,HDFC Bank,7.40%,AU Small Finance Bank,8.60%,Equitas SFB,9.35%
Ujjivan SFB,Salaried,850,850,CIBIL 800+,8.75%,HDFC Bank,7.15%,AU Small Finance Bank,8.25%,Equitas SFB,9.00%
Ujjivan SFB,Self-employed,850,850,CIBIL 800+,9.00%,HDFC Bank,7.30%,AU Small Finance Bank,8.50%,Equitas SFB,9.25%
Jana SFB,Salaried,600,600,CIBIL 600–649,10.60%,HDFC Bank,8.75%,AU Small Finance Bank,9.85%,Ujjivan SFB,10.35%
Jana SFB,Self-employed,600,600,CIBIL 600–649,10.85%,HDFC Bank,8.90%,AU Small Finance Bank,10.10%,Ujjivan SFB,10.60%
Jana SFB,Salaried,625,622,CIBIL 600–649,10.45%,HDFC Bank,8.60%,AU Small Finance Bank,9.70%,Ujjivan SFB,10.20%
Jana SFB,Self-employed,625,622,CIBIL 600–649,10.70%,HDFC Bank,8.75%,AU Small Finance Bank,9.95%,Ujjivan SFB,10.45%
Jana SFB,Salaried,675,677,CIBIL below 700,10.15%,HDFC Bank,8.30%,AU Small Finance Bank,9.40%,Ujjivan SFB,9.90%
Jana SFB,Self-employed,675,677,CIBIL below 700,10.40%,HDFC Bank,8.45%,AU Small Finance Bank,9.65%,Ujjivan SFB,10.15%
Jana SFB,Salaried,725,737,CIBIL 700–749,9.65%,HDFC Bank,7.80%,AU Small Finance Bank,8.90%,Ujjivan SFB,9.40%
Jana SFB,Self-employed,725,737,CIBIL 700–749,9.90%,HDFC Bank,7.95%,AU Small Finance Bank,9.15%,Ujjivan SFB,9.65%
Jana SFB,Salaried,775,778,CIBIL 750–799,9.20%,HDFC Bank,7.35%,AU Small Finance Bank,8.45%,Ujjivan SFB,8.95%
Jana SFB,Self-employed,775,778,CIBIL 750–799,9.45%,HDFC Bank,7.50%,AU Small Finance Bank,8.70%,Ujjivan SFB,9.20%
Jana SFB,Salaried,825,839,CIBIL 800+,9.00%,HDFC Bank,7.15%,AU Small Finance Bank,8.25%,Ujjivan SFB,8.75%
Jana SFB,Self-employed,825,839,CIBIL 800+,9.25%,HDFC Bank,7.30%,AU Small Finance Bank,8.50%,Ujjivan SFB,9.00%
Jana SFB,Salaried,790,790,CIBIL 750–799,9.10%,HDFC Bank,7.25%,AU Small Finance Bank,8.35%,Ujjivan SFB,8.85%
Jana SFB,Self-employed,790,790,CIBIL 750–799,9.35%,HDFC Bank,7.40%,AU Small Finance Bank,8.60%,Ujjivan SFB,9.10%
Jana SFB,Salaried,850,850,CIBIL 800+,9.00%,HDFC Bank,7.15%,AU Small Finance Bank,8.25%,Ujjivan SFB,8.75%
Jana SFB,Self-employed,850,850,CIBIL 800+,9.25%,HDFC Bank,7.30%,AU Small Finance Bank,8.50%,Ujjivan SFB,9.00%
Equitas SFB,Salaried,600,600,CIBIL 600–649,10.60%,HDFC Bank,8.75%,AU Small Finance Bank,9.85%,Ujjivan SFB,10.35%
Equitas SFB,Self-employed,600,600,CIBIL 600–649,10.85%,HDFC Bank,8.90%,AU Small Finance Bank,10.10%,Ujjivan SFB,10.60%
Equitas SFB,Salaried,625,622,CIBIL 600–649,10.45%,HDFC Bank,8.60%,AU Small Finance Bank,9.70%,Ujjivan SFB,10.20%
Equitas SFB,Self-employed,625,622,CIBIL 600–649,10.70%,HDFC Bank,8.75%,AU Small Finance Bank,9.95%,Ujjivan SFB,10.45%
Equitas SFB,Salaried,675,677,CIBIL below 700,10.15%,HDFC Bank,8.30%,AU Small Finance Bank,9.40%,Ujjivan SFB,9.90%
Equitas SFB,Self-employed,675,677,CIBIL below 700,10.40%,HDFC Bank,8.45%,AU Small Finance Bank,9.65%,Ujjivan SFB,10.15%
Equitas SFB,Salaried,725,737,CIBIL 700–749,9.65%,HDFC Bank,7.80%,AU Small Finance Bank,8.90%,Ujjivan SFB,9.40%
Equitas SFB,Self-employed,725,737,CIBIL 700–749,9.90%,HDFC Bank,7.95%,AU Small Finance Bank,9.15%,Ujjivan SFB,9.65%
Equitas SFB,Salaried,775,778,CIBIL 750–799,9.20%,HDFC Bank,7.35%,AU Small Finance Bank,8.45%,Ujjivan SFB,8.95%
Equitas SFB,Self-employed,775,778,CIBIL 750–799,9.45%,HDFC Bank,7.50%,AU Small Finance Bank,8.70%,Ujjivan SFB,9.20%
Equitas SFB,Salaried,825,839,CIBIL 800+,9.00%,HDFC Bank,7.15%,AU Small Finance Bank,8.25%,Ujjivan SFB,8.75%
Equitas SFB,Self-employed,825,839,CIBIL 800+,9.25%,HDFC Bank,7.30%,AU Small Finance Bank,8.50%,Ujjivan SFB,9.00%
Equitas SFB,Salaried,790,790,CIBIL 750–799,9.10%,HDFC Bank,7.25%,AU Small Finance Bank,8.35%,Ujjivan SFB,8.85%
Equitas SFB,Self-employed,790,790,CIBIL 750–799,9.35%,HDFC Bank,7.40%,AU Small Finance Bank,8.60%,Ujjivan SFB,9.10%
Equitas SFB,Salaried,850,850,CIBIL 800+,9.00%,HDFC Bank,7.15%,AU Small Finance Bank,8.25%,Ujjivan SFB,8.75%
Equitas SFB,Self-employed,850,850,CIBIL 800+,9.25%,HDFC Bank,7.30%,AU Small Finance Bank,8.50%,Ujjivan SFB,9.00%
Bajaj Housing Finance,Salaried,600,600,CIBIL 600–649,10.00%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Tata Capital,10.00%
Bajaj Housing Finance,Self-employed,600,600,CIBIL 600–649,11.00%,HDFC Bank,8.90%,Tata Capital,10.00%,LIC Housing Finance,11.00%
Bajaj Housing Finance,Salaried,625,622,CIBIL 600–649,9.75%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Tata Capital,9.80%
Bajaj Housing Finance,Self-employed,625,622,CIBIL 600–649,10.70%,HDFC Bank,8.75%,Tata Capital,9.80%,LIC Housing Finance,10.70%
Bajaj Housing Finance,Salaried,675,677,CIBIL below 700,9.25%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Tata Capital,9.30%
Bajaj Housing Finance,Self-employed,675,677,CIBIL below 700,10.00%,HDFC Bank,8.45%,Tata Capital,9.35%,LIC Housing Finance,10.05%
Bajaj Housing Finance,Salaried,725,737,CIBIL 700–749,8.40%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Tata Capital,8.55%
Bajaj Housing Finance,Self-employed,725,737,CIBIL 700–749,8.90%,HDFC Bank,7.95%,Tata Capital,8.65%,LIC Housing Finance,8.95%
Bajaj Housing Finance,Salaried,775,778,CIBIL 750–799,7.60%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Tata Capital,7.80%
Bajaj Housing Finance,Self-employed,775,778,CIBIL 750–799,7.85%,HDFC Bank,7.50%,LIC Housing Finance,7.95%,Tata Capital,8.00%
Bajaj Housing Finance,Salaried,825,839,CIBIL 800+,7.25%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Tata Capital,7.50%
Bajaj Housing Finance,Self-employed,825,839,CIBIL 800+,7.35%,HDFC Bank,7.30%,LIC Housing Finance,7.50%,Tata Capital,7.70%
Bajaj Housing Finance,Salaried,790,790,CIBIL 750–799,7.45%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Tata Capital,7.70%
Bajaj Housing Finance,Self-employed,790,790,CIBIL 750–799,7.65%,HDFC Bank,7.40%,LIC Housing Finance,7.80%,Tata Capital,7.90%
Bajaj Housing Finance,Salaried,850,850,CIBIL 800+,7.25%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Tata Capital,7.50%
Bajaj Housing Finance,Self-employed,850,850,CIBIL 800+,7.35%,HDFC Bank,7.30%,LIC Housing Finance,7.50%,Tata Capital,7.70%
Tata Capital,Salaried,600,600,CIBIL 600–649,10.00%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
Tata Capital,Self-employed,600,600,CIBIL 600–649,10.00%,HDFC Bank,8.90%,Bajaj Housing Finance,11.00%,LIC Housing Finance,11.00%
Tata Capital,Salaried,625,622,CIBIL 600–649,9.80%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Bajaj Housing Finance,9.75%
Tata Capital,Self-employed,625,622,CIBIL 600–649,9.80%,HDFC Bank,8.75%,Bajaj Housing Finance,10.70%,LIC Housing Finance,10.70%
Tata Capital,Salaried,675,677,CIBIL below 700,9.30%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Bajaj Housing Finance,9.25%
Tata Capital,Self-employed,675,677,CIBIL below 700,9.35%,HDFC Bank,8.45%,Bajaj Housing Finance,10.00%,LIC Housing Finance,10.05%
Tata Capital,Salaried,725,737,CIBIL 700–749,8.55%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Bajaj Housing Finance,8.40%
Tata Capital,Self-employed,725,737,CIBIL 700–749,8.65%,HDFC Bank,7.95%,Bajaj Housing Finance,8.90%,LIC Housing Finance,8.95%
Tata Capital,Salaried,775,778,CIBIL 750–799,7.80%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Bajaj Housing Finance,7.60%
Tata Capital,Self-employed,775,778,CIBIL 750–799,8.00%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,LIC Housing Finance,7.95%
Tata Capital,Salaried,825,839,CIBIL 800+,7.50%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Tata Capital,Self-employed,825,839,CIBIL 800+,7.70%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Tata Capital,Salaried,790,790,CIBIL 750–799,7.70%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
Tata Capital,Self-employed,790,790,CIBIL 750–799,7.90%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
Tata Capital,Salaried,850,850,CIBIL 800+,7.50%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Tata Capital,Self-employed,850,850,CIBIL 800+,7.70%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
LIC Housing Finance,Salaried,600,600,CIBIL 600–649,9.50%,HDFC Bank,8.75%,Bajaj Housing Finance,10.00%,Tata Capital,10.00%
LIC Housing Finance,Self-employed,600,600,CIBIL 600–649,11.00%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
LIC Housing Finance,Salaried,625,622,CIBIL 600–649,9.30%,HDFC Bank,8.60%,Bajaj Housing Finance,9.75%,Tata Capital,9.80%
LIC Housing Finance,Self-employed,625,622,CIBIL 600–649,10.70%,HDFC Bank,8.75%,Tata Capital,9.80%,Bajaj Housing Finance,10.70%
LIC Housing Finance,Salaried,675,677,CIBIL below 700,8.85%,HDFC Bank,8.30%,Bajaj Housing Finance,9.25%,Tata Capital,9.30%
LIC Housing Finance,Self-employed,675,677,CIBIL below 700,10.05%,HDFC Bank,8.45%,Tata Capital,9.35%,Bajaj Housing Finance,10.00%
LIC Housing Finance,Salaried,725,737,CIBIL 700–749,8.15%,HDFC Bank,7.80%,Bajaj Housing Finance,8.40%,Tata Capital,8.55%
LIC Housing Finance,Self-employed,725,737,CIBIL 700–749,8.95%,HDFC Bank,7.95%,Tata Capital,8.65%,Bajaj Housing Finance,8.90%
LIC Housing Finance,Salaried,775,778,CIBIL 750–799,7.45%,HDFC Bank,7.35%,Bajaj Housing Finance,7.60%,Tata Capital,7.80%
LIC Housing Finance,Self-employed,775,778,CIBIL 750–799,7.95%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,Tata Capital,8.00%
LIC Housing Finance,Salaried,825,839,CIBIL 800+,7.15%,HDFC Bank,7.15%,Bajaj Housing Finance,7.25%,Tata Capital,7.50%
LIC Housing Finance,Self-employed,825,839,CIBIL 800+,7.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,Tata Capital,7.70%
LIC Housing Finance,Salaried,790,790,CIBIL 750–799,7.35%,HDFC Bank,7.25%,Bajaj Housing Finance,7.45%,Tata Capital,7.70%
LIC Housing Finance,Self-employed,790,790,CIBIL 750–799,7.80%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,Tata Capital,7.90%
LIC Housing Finance,Salaried,850,850,CIBIL 800+,7.15%,HDFC Bank,7.15%,Bajaj Housing Finance,7.25%,Tata Capital,7.50%
LIC Housing Finance,Self-employed,850,850,CIBIL 800+,7.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,Tata Capital,7.70%
PNB Housing Finance,Salaried,600,600,CIBIL 600–649,10.50%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
PNB Housing Finance,Self-employed,600,600,CIBIL 600–649,12.00%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
PNB Housing Finance,Salaried,625,622,CIBIL 600–649,10.25%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Bajaj Housing Finance,9.75%
PNB Housing Finance,Self-employed,625,622,CIBIL 600–649,11.65%,HDFC Bank,8.75%,Tata Capital,9.80%,Bajaj Housing Finance,10.70%
PNB Housing Finance,Salaried,675,677,CIBIL below 700,9.75%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Bajaj Housing Finance,9.25%
PNB Housing Finance,Self-employed,675,677,CIBIL below 700,10.85%,HDFC Bank,8.45%,Tata Capital,9.35%,Bajaj Housing Finance,10.00%
PNB Housing Finance,Salaried,725,737,CIBIL 700–749,9.00%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Bajaj Housing Finance,8.40%
PNB Housing Finance,Self-employed,725,737,CIBIL 700–749,9.65%,HDFC Bank,7.95%,Tata Capital,8.65%,Bajaj Housing Finance,8.90%
PNB Housing Finance,Salaried,775,778,CIBIL 750–799,8.25%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Bajaj Housing Finance,7.60%
PNB Housing Finance,Self-employed,775,778,CIBIL 750–799,8.45%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,LIC Housing Finance,7.95%
PNB Housing Finance,Salaried,825,839,CIBIL 800+,7.90%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
PNB Housing Finance,Self-employed,825,839,CIBIL 800+,7.90%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
PNB Housing Finance,Salaried,790,790,CIBIL 750–799,8.10%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
PNB Housing Finance,Self-employed,790,790,CIBIL 750–799,8.25%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
PNB Housing Finance,Salaried,850,850,CIBIL 800+,7.90%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
PNB Housing Finance,Self-employed,850,850,CIBIL 800+,7.90%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Sammaan Capital (Indiabulls),Salaried,600,600,CIBIL 600–649,12.00%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
Sammaan Capital (Indiabulls),Self-employed,600,600,CIBIL 600–649,12.50%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
Sammaan Capital (Indiabulls),Salaried,625,622,CIBIL 600–649,11.70%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Bajaj Housing Finance,9.75%
Sammaan Capital (Indiabulls),Self-employed,625,622,CIBIL 600–649,12.20%,HDFC Bank,8.75%,Tata Capital,9.80%,Bajaj Housing Finance,10.70%
Sammaan Capital (Indiabulls),Salaried,675,677,CIBIL below 700,11.10%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Bajaj Housing Finance,9.25%
Sammaan Capital (Indiabulls),Self-employed,675,677,CIBIL below 700,11.55%,HDFC Bank,8.45%,Tata Capital,9.35%,Bajaj Housing Finance,10.00%
Sammaan Capital (Indiabulls),Salaried,725,737,CIBIL 700–749,10.10%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Bajaj Housing Finance,8.40%
Sammaan Capital (Indiabulls),Self-employed,725,737,CIBIL 700–749,10.45%,HDFC Bank,7.95%,Tata Capital,8.65%,Bajaj Housing Finance,8.90%
Sammaan Capital (Indiabulls),Salaried,775,778,CIBIL 750–799,9.15%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Bajaj Housing Finance,7.60%
Sammaan Capital (Indiabulls),Self-employed,775,778,CIBIL 750–799,9.45%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,LIC Housing Finance,7.95%
Sammaan Capital (Indiabulls),Salaried,825,839,CIBIL 800+,8.75%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Sammaan Capital (Indiabulls),Self-employed,825,839,CIBIL 800+,9.00%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Sammaan Capital (Indiabulls),Salaried,790,790,CIBIL 750–799,9.00%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
Sammaan Capital (Indiabulls),Self-employed,790,790,CIBIL 750–799,9.30%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
Sammaan Capital (Indiabulls),Salaried,850,850,CIBIL 800+,8.75%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Sammaan Capital (Indiabulls),Self-employed,850,850,CIBIL 800+,9.00%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Muthoot Housing Finance,Salaried,600,600,CIBIL 600–649,14.00%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
Muthoot Housing Finance,Self-employed,600,600,CIBIL 600–649,15.50%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
